,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Time Sheet,,,,,,,,,
1,,,,,,,,,,,
2,,,,Timeframe,,,,,,,
3,,,,2024-11-03 00:00:00,to,2024-11-09 00:00:00,Goal:,30,Remaining:,18.549999999999997,hours
4,,,,,,,,,Highscore:,23.03 hrs,
5,,,,,,,,,,,
6,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,
7,,,2024-11-03 00:00:00,2024-11-04 00:00:00,2024-11-05 00:00:00,2024-11-06 00:00:00,2024-11-07 00:00:00,2024-11-08 00:00:00,2024-11-09 00:00:00,TOTAL,
8,,Kobe Project,0.5,1,,,,,,1.5,
9,,Commission,2.25,1.1666666666666667,2.25,2.5,1.7833333333333332,,,9.950000000000001,
10,,My Eyes,,,,,,,,0,
11,,Pursuit of Happyness,,,,,,,,0,
12,,Whiplash x Bear,,,,,,,,,
13,,,,,,,,,,,
14,,Total hrs,2.75,2.166666666666667,2.25,2.5,1.7833333333333332,0,0,11.450000000000001,
15,,Current Day:,2024-11-15 00:00:00,,,,,,Highscore(Day),5.58 hrs,
16,,,,,,STATS,,,,,
17,,Sun,2.75,,,,,,,,
18,,Mon,2.166666666666667,,,,,,,,
19,,Tue,2.25,,,,,,,,
20,,Wed,2.5,,,,,,,,
21,,Thu,1.7833333333333332,,,,,,,,
22,,Fri,0,,,,,,,,
23,,Sat,0,,,,,,,,
